ts	phase	decision	why	evidence	result
2026-09-11T21:30:35Z	frame	Set acceptance to a runnable browser reconstruction plus immutable model provenance and OpenRecon comparison	The request combines UI, model conversion, external publication, and numerical equivalence	docs/architecture/topofit-webapp.md	open
2026-09-11T21:30:35Z	model-export	Split TReGA before least squares after the direct export failed	torch.linalg.lstsq has no portable ONNX lowering and the browser needs a stable Float64 solve	/storage/home/ubuntu/.tmp/topofit-export-probe/trega-landmarks.onnx	Torch and CPU ORT landmark outputs agree within 0.0031 max absolute error
2026-09-11T21:30:35Z	runtime	Rejected stock ONNX Runtime WebGPU for the complete model	Its pinned backend lacks Conv3D and supports GridSample only at rank 4 while BrainNet needs Conv3D and rank-5 sampling	https://github.com/microsoft/onnxruntime/blob/v1.23.2/js/web/docs/webgpu-operators.md	custom WebGPU execution required
2026-09-11T21:30:35Z	architecture	Selected the staged hybrid design and grafted the monolithic candidate's exact QC contract	The independent judge scored it higher and both candidates' ORT Conv3D assumption was removed	/storage/home/ubuntu/.tmp/topofit-architect/candidate-2/design.md	base selected; implementation open
2026-09-11T21:30:35Z	reference	Pinned and pulled the real OpenRecon 0.5.1 image by digest	Parity must compare against the container named by the request, not a local wheel approximation	docker.io/vnmd/topofit_0.5.1@sha256:dff22ad5577a1a7ba0530759e009f293271ea5ddfc3441fb35b61322bbd6ec29	reference reconstruction running
2026-09-11T21:52:00Z	reference	Completed the real OpenRecon CPU reconstruction on the pinned OpenNeuro scan	The comparison needs neural surfaces and source-grid QC from the actual container	/storage/home/ubuntu/.tmp/topofit-reference/output	Six required surfaces and QC completed in 81.909 seconds
2026-09-11T22:01:00Z	model-export	Abandoned one monolithic order-6 surface graph and split it into seven white-mesh orders plus pial	The full trace was killed at 21.9 GB resident memory; order boundaries are part of the source algorithm and expose drift directly	journalctl OOM record for pid 1665155; packages/topofit/scripts/export_models.py	staged export running
2026-09-11T22:09:00Z	runtime	Selected ONNX Runtime WebAssembly as the primary executor	The exported graphs use portable ONNX operators; a CPU browser path is smaller and more auditable than a new custom WebGPU engine	packages/topofit/src/browser.js	production bundle builds with the threaded runtime
2026-09-11T22:51:00Z	model-export	Export each learned surface update once and repeat it at runtime	The checkpoint applies identical white graphs twice at orders 0-5 and the identical pial graph ten times; unrolling duplicates topology constants and exhausted memory	packages/topofit/scripts/export_models.py; packages/topofit/src/pipeline.js	preserved checkpoint iteration counts while reducing export and download size
2026-09-11T22:51:00Z	validation	Separated controlled inference parity from end-to-end preprocessing comparison	The browser uses Niimath Lanczos while OpenRecon uses nibabel cubic conforming, so one comparison cannot identify whether drift comes from preprocessing or ONNX execution	packages/topofit/validation/compare.py	two named reports required before activation
2026-09-11T23:04:00Z	runtime	Installed the inference message handler without awaiting Cache Storage	A job posted during the worker's top-level cache await was delivered before onmessage existed and was dropped	apps/topofit/e2e/smoke.spec.js production inference worker test	red in 10 seconds before the fix; green in 0.917 seconds after it
2026-09-11T23:06:00Z	model-export	Normalize exported graph output names to the declared public tensor contract	PyTorch constant folding renamed the TReGA template output to a numeric value despite output_names	ONNX graph output inspection and production browser failure	TReGA outputs are targets, weights, templates and CPU parity still passes
2026-09-11T23:08:00Z	model-export	Construct zero buffers from live tensors instead of static torch.zeros	Static shapes caused the exporter to embed 371426100 bytes of float zero constants in order 6, exhausting WebAssembly memory	/storage/home/ubuntu/.tmp/topofit-constants.txt	order-6 graph reduced from 412769251 to 42653077 bytes with identical parity errors
2026-09-11T23:24:00Z	model-export	Scale full-grid vertex coordinates into each decoder feature grid before trilinear sampling	The first browser comparison exposed a coordinate-frame mismatch: source BrainNet normalizes against the full 176x208x176 image even when sampling lower-resolution feature maps	packages/topofit/scripts/export_models.py validate_grid_sample_lowering; controlled comparison stage captures	custom lowering agrees with PyTorch grid_sample within 2e-5 and controlled parity passes
2026-09-11T23:31:00Z	validation	Gate sparse QC labels on symmetric coverage within one source voxel while continuing to report exact Dice	Subvoxel vertex differences can cross ties-to-even rasterization boundaries, making exact sparse Dice unstable despite submillimetre corresponding surfaces	packages/topofit/validation/compare.py; packages/topofit/validation/results/ds000001-controlled.json	white coverage 1.0 and pial coverage 0.9996208303; raw Dice remains visible
2026-09-11T23:36:00Z	validation	Record the production conformer comparison as a measured difference rather than inference failure	The controlled input passes while Niimath Lanczos and OpenRecon nibabel cubic preprocessing produce a distinct end-to-end result	packages/topofit/validation/results/ds000001-end-to-end.json	mean anatomical distance 0.467-0.562 mm and one-voxel QC coverage at least 0.99867
2026-09-11T23:48:00Z	publication	Activate the manifest only at the immutable Hugging Face dataset commit after anonymous verification	The browser must resolve public bytes without credentials and detect corruption before inference	7d5aa4486de43d612f48c2ffe7671669ac6b2c0a; packages/topofit/model.manifest.json	all 31 runtime assets matched declared byte counts and SHA-256 hashes in an unauthenticated fresh cache
2026-09-11T23:55:00Z	publication	Run the production browser against the immutable public asset URLs after activation	Anonymous byte verification alone does not prove browser CORS, worker loading, ONNX execution, and output serialization work together	/storage/home/ubuntu/.tmp/topofit-reference/remote-release-comparison.json	remote release completed in 95 seconds and reproduced the passing controlled metrics and output hashes exactly
2026-09-12T00:03:00Z	interface	Import the shared imaging-workspace stylesheet and encode its desktop geometry in the smoke test	Visual inspection found that shell theme tokens alone did not apply the canonical two-column workspace layout	/storage/home/ubuntu/.tmp/topofit-reference/topofit-desktop-final.png; apps/topofit/e2e/smoke.spec.js	canonical desktop and 390 px mobile layouts render with no horizontal overflow; six browser smoke tests pass
2026-09-12T00:08:00Z	audit	Reconcile the active transcript's material decisions with the committed trail before independent review	Long-running work must leave a trustworthy record of pivots, failures, evidence, and activation choices	/home/ubuntu/.codex/sessions/2026/09/11/rollout-2026-09-11T21-09-29-01a0924d-d681-7a32-aadb-f0ca56566d6f.jsonl; .audit/topofit-webapp.tsv	all eleven material decision categories sampled from the transcript are represented in the trail
2026-09-12T00:12:00Z	preprocessing	Derive voxel spacing from affine columns and validate the orientation at the package boundary	NIfTI affine columns describe voxel axes; row norms silently permute anisotropic spacing for axis-swapped inputs	packages/topofit/src/volume.js; packages/topofit/test/core.test.js	permuted axis-aligned spacing is covered by a regression test and oblique input still fails with an actionable message
2026-09-12T00:17:00Z	verification	Repeat a complete reconstruction after the final layout and preprocessing corrections	The final build, not an earlier intermediate bundle, must supply both numerical and visual evidence	/storage/home/ubuntu/.tmp/topofit-reference/browser-final-styled/desktop-result.png; /storage/home/ubuntu/.tmp/topofit-reference/final-styled-comparison.json	completed in 95 seconds with the same passing surface, registration, topology, and QC metrics
2026-09-12T00:26:00Z	review	Resolve the independent review's activation, preset, license, example-integrity, manifest-view, and release-date findings	The first final review found mismatches between stated contracts and enforceable behavior	final reviewer gpt-5.5; packages/topofit/scripts/activate_manifest.py; apps/topofit/src/main.js	activation now verifies linked evidence and anonymous remote bytes; only validated T1 is exposed; GPL text, example hashing, and manifest viewing are corrected
